,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,50,1.951,1.951,0.008244037628173828,"[1, 0, 1, 1, 3, 3, 2, 4, 7, 2, 0, 1, 0, 0, 1, 7, 6, 1, 0, 1, 0, 5, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 7, 4, 0, 1, 1, 3, 3, 3, 7, 1, 7, 6, 0, 1, 5, 6, 5, 3, 3]",0,0
1,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,61,1.942,3.893,0.06200146675109863,"[1, 7, 4, 7, 2, 1, 1, 0, 1, 0, 5, 4, 1, 0, 7, 3, 3, 3, 1, 1, 1, 0, 7, 3, 2, 3, 2, 4, 0, 4, 3, 1, 0, 1, 4, 7, 1, 1, 1, 1, 1, 2, 3, 0, 1, 0, 1, 2, 3, 2, 3, 2, 3, 2, 5, 0, 0, 3, 6, 5, 3, 3]",0,0
2,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,40,1.962,5.8549999999999995,0.04799962043762207,"[1, 7, 3, 2, 6, 5, 3, 3, 2, 2, 2, 3, 4, 0, 1, 0, 1, 0, 1, 0, 1, 1, 3, 3, 2, 4, 7, 3, 2, 3, 3, 2, 3, 3, 1, 1, 7, 3, 2, 3, 3]",0,0
3,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,17,1.9849999999999999,7.84,0.019999980926513672,"[1, 0, 1, 0, 1, 7, 4, 1, 3, 3, 3, 7, 1, 7, 3, 2, 3, 3]",0,0
4,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,17,1.984,9.824,0.019000768661499023,"[1, 7, 6, 0, 3, 3, 2, 3, 2, 3, 3, 7, 0, 1, 1, 7, 3, 3]",0,0
5,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,63,1.938,11.762,0.07000088691711426,"[1, 0, 1, 7, 3, 3, 3, 2, 3, 2, 3, 2, 3, 1, 4, 7, 0, 1, 4, 7, 0, 1, 4, 3, 2, 2, 3, 3, 1, 0, 1, 0, 2, 3, 2, 3, 2, 3, 2, 3, 1, 0, 2, 3, 1, 4, 3, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 7, 3, 3]",0,0
6,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,22,1.979,13.741,0.02699899673461914,"[1, 7, 3, 2, 3, 2, 3, 3, 3, 1, 0, 1, 0, 1, 0, 1, 4, 3, 1, 1, 7, 3, 3]",0,0
7,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,23,1.978,15.719,0.029999256134033203,"[1, 7, 3, 3, 3, 2, 3, 2, 2, 2, 4, 7, 3, 3, 2, 3, 3, 1, 0, 1, 1, 7, 3, 3]",0,0
8,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,13,1.9889999999999999,17.708,0.01500082015991211,"[1, 7, 3, 3, 7, 4, 3, 1, 1, 7, 3, 2, 3, 3]",0,0
9,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,8,1.9929999999999999,19.700999999999997,0.009998083114624023,"[1, 7, 3, 3, 7, 1, 7, 3, 3]",0,0
10,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,10,19,1.982,21.682999999999996,0.022003173828125,"[1, 7, 2, 0, 7, 3, 3, 3, 1, 0, 2, 2, 3, 7, 1, 0, 1, 7, 3, 3]",0,0
11,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,11,23,1.978,23.660999999999998,0.025997161865234375,"[1, 7, 4, 1, 3, 4, 1, 3, 3, 3, 2, 3, 3, 1, 0, 1, 0, 1, 0, 1, 1, 7, 3, 3]",0,0
12,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,12,18,1.983,25.644,0.021000146865844727,"[1, 7, 3, 3, 3, 2, 3, 1, 0, 2, 3, 1, 0, 1, 1, 1, 3, 3, 3]",0,0
13,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,13,15,1.986,27.63,0.016999483108520508,"[1, 7, 3, 3, 2, 3, 3, 1, 1, 7, 6, 1, 0, 5, 3, 3]",0,0
14,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,14,10,1.991,29.621,0.012000083923339844,"[1, 7, 6, 5, 3, 3, 7, 1, 7, 3, 3]",0,0
15,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,15,9,1.992,31.613,0.011002302169799805,"[1, 7, 3, 3, 3, 1, 1, 7, 3, 3]",0,0
16,8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,16,21,1.98,33.592999999999996,0.027997732162475586,"[1, 7, 3, 2, 4, 0, 1, 1, 0, 0, 1, 7, 6, 0, 3, 3, 3, 7, 1, 7, 3, 3]",0,0
