,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,99,-0.09900000000000007,-0.09900000000000007,5.119361162185669,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 5, 3, 2, 4, 1, 1, 5, 2, 3, 6, 0, 1, 5, 6, 5, 2, 0, 7, 4, 1, 3, 6, 5, 3, 2, 6, 1, 0, 1, 0, 5, 6, 1, 0, 0, 3, 3, 2, 4, 1, 3, 2, 0, 1, 0, 1, 3, 4, 0, 1, 1, 0, 7, 2, 3, 6, 0, 1, 5, 3, 3, 3, 2, 3, 1, 4, 3, 2, 2, 3, 7, 4, 3, 2, 2, 2, 3, 3, 2, 2, 2, 3, 6, 1, 0, 5, 3, 2, 2]",-0.004814990377751188,-0.0002093474077283125
1,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,99,-0.09900000000000007,-0.19800000000000015,2.3182380199432373,"[1, 0, 1, 0, 1, 7, 2, 1, 5, 3, 3, 3, 2, 7, 1, 7, 4, 0, 4, 2, 3, 2, 2, 2, 3, 2, 3, 6, 1, 0, 1, 0, 1, 0, 5, 4, 7, 2, 1, 0, 1, 0, 1, 1, 0, 1, 0, 5, 4, 0, 1, 1, 0, 0, 1, 1, 3, 2, 3, 6, 1, 0, 0, 1, 0, 3, 2, 1, 1, 0, 0, 3, 6, 5, 2, 3, 3, 3, 3, 2, 2, 3, 3, 1, 4, 3, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 5, 2, 0, 1]",-0.009360573949457838,-0.0002925179359205574
2,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,99,-0.09900000000000007,-0.2970000000000002,0.03699851036071777,"[1, 1, 3, 2, 1, 5, 6, 0, 1, 0, 3, 2, 3, 6, 0, 3, 3, 3, 2, 3, 3, 1, 4, 3, 1, 0, 2, 3, 2, 2, 2, 2, 3, 2, 3, 4, 7, 6, 1, 0, 0, 0, 0, 1, 1, 0, 7, 4, 7, 4, 0, 1, 7, 3, 3, 3, 2, 7, 1, 0, 4, 3, 1, 4, 2, 3, 2, 2, 2, 1, 5, 2, 3, 4, 0, 1, 1, 3, 4, 1, 0, 7, 6, 1, 0, 1, 0, 5, 6, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",-0.013639519611209289,-0.00041331877609725116
3,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,43,1.958,1.6609999999999998,3.038827896118164,"[1, 0, 1, 0, 1, 0, 1, 7, 2, 3, 6, 5, 4, 0, 1, 7, 3, 2, 3, 3, 3, 1, 1, 1, 1, 0, 3, 6, 1, 0, 1, 0, 1, 1, 0, 6, 5, 0, 1, 0, 0, 3, 3, 3]",0.08439727396372422,0.0019181198628119142
4,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,99,-0.09900000000000007,1.5619999999999998,0.034998416900634766,"[1, 7, 6, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 5, 6, 1, 0, 5, 3, 3, 3, 2, 3, 2, 2, 3, 7, 4, 3, 2, 7, 4, 2, 3, 7, 0, 2, 2, 2, 3, 2, 4, 1, 1, 5, 6, 0, 1, 1, 0, 5, 4, 1, 0, 1, 3, 4, 1, 3, 6, 5, 4, 1, 3, 6, 1, 0, 0, 0, 7, 3, 2, 2, 3, 2, 0, 1, 3, 4, 0, 1, 7, 2, 1, 1, 0, 0, 1, 5, 2, 1, 0, 1, 5, 2, 3]",0.0801671593846626,0.001821980895105968
5,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,99,-0.09900000000000007,1.4629999999999999,0.034000396728515625,"[1, 7, 2, 3, 4, 7, 2, 0, 0, 1, 7, 3, 2, 4, 0, 1, 1, 1, 0, 3, 4, 7, 3, 2, 3, 3, 3, 2, 7, 0, 2, 7, 4, 2, 2, 3, 2, 6, 5, 4, 1, 1, 0, 3, 4, 0, 1, 7, 3, 2, 3, 3, 2, 3, 2, 2, 3, 2, 4, 0, 1, 0, 1, 0, 1, 1, 3, 2, 0, 0, 1, 1, 1, 1, 0, 1, 0, 5, 4, 7, 4, 7, 6, 1, 0, 0, 3, 4, 1, 0, 1, 0, 0, 1, 7, 2, 3, 3, 3, 2]",0.07593595499293133,0.0017258171589302576
6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,43,1.958,3.421,0.018000125885009766,"[1, 7, 4, 0, 1, 7, 2, 0, 1, 3, 6, 0, 3, 3, 2, 2, 3, 6, 1, 0, 1, 0, 1, 0, 5, 4, 0, 1, 7, 3, 3, 7, 0, 2, 3, 1, 0, 1, 0, 1, 1, 7, 3, 3]",0.17390554877683562,0.003952398835837173
7,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,58,1.943,5.364,0.019999980926513672,"[1, 1, 3, 2, 0, 1, 0, 1, 0, 0, 1, 7, 4, 0, 1, 7, 3, 2, 4, 1, 3, 3, 3, 2, 3, 7, 0, 2, 2, 2, 3, 2, 2, 0, 1, 3, 3, 3, 2, 2, 2, 3, 4, 0, 1, 0, 1, 1, 0, 1, 0, 7, 3, 3, 7, 1, 7, 3, 3]",0.271110550444026,0.006161603419182409
8,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,39,1.962,7.326,0.01600027084350586,"[1, 7, 2, 1, 0, 3, 3, 3, 2, 2, 4, 0, 1, 1, 3, 6, 1, 0, 0, 1, 5, 4, 7, 3, 3, 2, 3, 3, 2, 7, 0, 2, 3, 2, 3, 1, 1, 7, 3, 3]",0.3688825836778886,0.008383695083588378
9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,60,1.9409999999999998,9.267,0.020999431610107422,"[1, 7, 4, 7, 6, 1, 0, 1, 0, 0, 1, 5, 6, 5, 6, 0, 1, 1, 0, 5, 6, 1, 0, 0, 0, 0, 1, 1, 3, 4, 7, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 7, 3, 2, 3, 3, 3, 2, 7, 1, 7, 2, 3, 3, 3]",0.4748545748325127,0.010792149428011653
