,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,99,-0.09900000000000007,-0.09900000000000007,0.14399981498718262,"[1, 7, 3, 2, 3, 3, 2, 3, 2, 3, 3, 1, 0, 1, 4, 2, 3, 3, 2, 7, 4, 2, 2, 6, 0, 0, 7, 2, 0, 0, 1, 7, 4, 1, 3, 2, 1, 0, 0, 1, 0, 0, 1, 7, 6, 0, 3, 3, 3, 3, 1, 0, 2, 2, 3, 7, 4, 3, 1, 4, 7, 4, 7, 0, 1, 0, 2, 3, 1, 0, 2, 7, 0, 2, 3, 2, 7, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 6, 3, 2, 2, 2, 6, 5, 3, 3]",-0.004932919016625198,-0.0001333221355844648
1,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,99,0.9009999999999999,0.8019999999999998,0.05800032615661621,"[1, 0, 1, 7, 4, 7, 4, 0, 1, 0, 1, 0, 1, 1, 1, 5, 6, 1, 0, 0, 0, 7, 3, 3, 3, 2, 2, 2, 6, 0, 0, 7, 3, 3, 7, 4, 2, 3, 3, 2, 7, 4, 2, 3, 7, 4, 7, 4, 2, 2, 6, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 5, 6, 1, 0, 0, 3, 6, 5, 3, 3, 3, 1, 0, 1, 0, 2, 7, 4, 3, 1, 4, 3, 2, 3, 1, 1, 0, 0, 1, 1, 7, 2, 1, 0, 3, 6, 0, 3, 3]",0.04051330691079147,0.0008807240632780754
2,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,16,1.9849999999999999,2.787,0.01199960708618164,"[1, 0, 1, 1, 1, 5, 3, 3, 7, 4, 7, 0, 1, 1, 7, 3, 3]",0.13974480904327602,0.002973293809431405
3,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,47,1.954,4.741,0.0169985294342041,"[1, 7, 4, 7, 2, 3, 4, 0, 1, 1, 3, 6, 5, 3, 2, 4, 0, 1, 1, 3, 6, 1, 0, 0, 0, 7, 2, 0, 0, 1, 7, 3, 2, 4, 7, 4, 7, 3, 3, 3, 1, 0, 2, 7, 1, 7, 3, 3]",0.23733022230944384,0.005049579198073273
4,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,52,1.9489999999999998,6.6899999999999995,0.018000125885009766,"[1, 1, 0, 7, 6, 1, 0, 5, 2, 0, 0, 1, 7, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 3, 6, 0, 3, 2, 1, 5, 4, 7, 3, 2, 4, 1, 1, 5, 3, 3, 3, 1, 1, 7, 3, 3]",0.33442576975468197,0.0071154419096740845
5,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,18,1.983,8.673,0.006999969482421875,"[1, 0, 1, 1, 3, 4, 0, 1, 7, 2, 1, 5, 3, 3, 7, 1, 7, 3, 3]",0.43282214439325417,0.009208981795601152
6,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,27,1.974,10.647,0.01000070571899414,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 3, 6, 1, 0, 5, 3, 3, 3, 2, 7, 1, 0, 1, 7, 3, 3]",0.531591968215152,0.01131046740883302
7,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,99,1.902,12.549,0.040999650955200195,"[1, 0, 1, 7, 6, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 3, 2, 0, 1, 1, 5, 3, 2, 4, 1, 3, 4, 1, 3, 6, 5, 6, 5, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 3, 6, 1, 0, 1, 0, 0, 1, 0, 1, 5, 6, 1, 0, 0, 1, 5, 4, 1, 1, 0, 3, 2, 3, 2, 3, 2, 1, 5, 2, 1, 1, 0, 5, 6, 1, 0, 1, 0, 5, 3, 3, 2, 3, 2, 3, 7, 1, 7, 3, 3]",0.6258848931531349,0.013316699854322019
8,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,72,1.9289999999999998,14.478,0.031000375747680664,"[1, 7, 6, 0, 3, 2, 0, 7, 2, 1, 5, 2, 0, 7, 3, 2, 4, 1, 3, 2, 1, 1, 0, 0, 1, 5, 4, 0, 1, 0, 1, 7, 6, 0, 3, 3, 2, 3, 2, 6, 5, 3, 2, 6, 0, 3, 2, 3, 4, 0, 1, 1, 3, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 1, 1, 7, 3, 3]",0.7211468222599147,0.015343549409785419
9,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,26,1.975,16.453,0.011000871658325195,"[1, 0, 1, 1, 1, 1, 0, 5, 4, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 7, 3, 3, 7, 1, 7, 3, 3]",0.8182635123935439,0.017409861965820082
10,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,59,1.942,18.395,0.02400040626525879,"[1, 1, 3, 6, 0, 1, 0, 3, 6, 1, 0, 5, 2, 1, 0, 1, 1, 0, 5, 4, 7, 4, 7, 6, 0, 1, 5, 2, 0, 7, 6, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 5, 4, 7, 2, 1, 1, 0, 1, 0, 5, 3, 3, 3, 2, 7, 1, 7, 3, 3]",0.913793333524761,0.01944241135159066
11,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,14,1.987,20.381999999999998,0.00699925422668457,"[1, 7, 2, 3, 6, 5, 3, 3, 2, 3, 7, 1, 7, 3, 3]",1.0109671693305544,0.02150993977299052
12,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,13,1.988,22.369999999999997,0.006999969482421875,"[1, 0, 1, 7, 2, 0, 7, 3, 3, 7, 1, 7, 3, 3]",1.1079048140838625,0.02357244285284814
13,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,18,1.983,24.352999999999998,0.009000301361083984,"[1, 7, 3, 2, 3, 2, 6, 0, 1, 5, 3, 3, 7, 1, 7, 2, 3, 3, 3]",1.2308063484658787,0.02618736911629529
14,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,8,1.9929999999999999,26.345999999999997,0.0040013790130615234,"[1, 7, 3, 3, 7, 1, 7, 3, 3]",1.327476112125835,0.02824417259842202
15,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,16,1.9849999999999999,28.330999999999996,0.0069980621337890625,"[1, 0, 1, 1, 3, 6, 1, 0, 0, 3, 3, 3, 7, 1, 7, 3, 3]",1.4235709866086597,0.030288744395928928
16,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,29,1.972,30.302999999999997,0.011001825332641602,"[1, 7, 2, 0, 1, 1, 5, 6, 0, 0, 1, 3, 4, 7, 3, 2, 6, 1, 0, 5, 2, 1, 5, 3, 3, 7, 1, 7, 3, 3]",1.5188848950523912,0.03231669989473173
