,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,84,1.9169999999999998,1.9169999999999998,0.0280001163482666,"[1, 0, 1, 7, 6, 5, 2, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 5, 4, 7, 4, 0, 1, 1, 0, 7, 6, 1, 0, 1, 0, 5, 3, 2, 2, 1, 1, 0, 0, 0, 7, 6, 1, 0, 1, 0, 0, 0, 7, 4, 1, 0, 1, 1, 5, 2, 0, 7, 6, 1, 0, 5, 6, 0, 1, 5, 6, 0, 0, 7, 3, 3, 7, 4, 3, 1, 1, 7, 2, 3, 3, 3]",0.09593689005734388,0.003689880386820918
1,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,29,1.972,3.889,0.009999990463256836,"[1, 7, 4, 1, 3, 6, 5, 4, 1, 0, 1, 1, 0, 0, 1, 3, 3, 3, 7, 0, 1, 1, 1, 0, 0, 1, 1, 3, 3, 3]",0.19438741975713064,0.006270561927649376
2,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,89,1.912,5.801,0.03000044822692871,"[1, 7, 6, 0, 1, 0, 0, 0, 1, 7, 2, 0, 0, 1, 1, 0, 1, 3, 3, 2, 3, 2, 3, 3, 2, 3, 7, 0, 1, 1, 0, 4, 3, 2, 3, 2, 3, 2, 3, 1, 4, 3, 1, 0, 2, 2, 3, 2, 2, 2, 3, 6, 0, 1, 1, 0, 1, 0, 5, 4, 7, 2, 1, 0, 1, 1, 0, 5, 6, 0, 1, 5, 3, 3, 3, 1, 4, 7, 1, 0, 0, 1, 1, 0, 1, 7, 2, 3, 3, 3]",0.2945335386432033,0.008925258746763736
3,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,99,-0.09900000000000007,5.702,0.03299975395202637,"[1, 0, 1, 0, 1, 0, 1, 7, 2, 3, 4, 0, 1, 7, 4, 7, 3, 2, 2, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 2, 0, 1, 3, 2, 0, 7, 2, 3, 2, 1, 5, 6, 0, 1, 0, 1, 5, 3, 2, 2, 1, 0, 3, 3, 2, 6, 0, 3, 4, 1, 0, 0, 1, 1, 0, 7, 4, 7, 3, 2, 3, 2, 4, 7, 4, 7, 6, 1, 0, 0, 1, 5, 4, 1, 3, 3, 3, 2, 3, 2, 3, 2, 2, 3, 2, 6, 1, 0, 5]",0.2901053126470383,0.008791070080213282
4,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,99,-0.09900000000000007,5.603,0.03399944305419922,"[1, 0, 1, 7, 4, 1, 3, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 5, 2, 0, 0, 1, 0, 1, 7, 6, 5, 4, 1, 1, 0, 0, 1, 1, 1, 0, 5, 2, 3, 6, 5, 3, 2, 6, 0, 0, 1, 3, 3, 3, 3, 1, 0, 1, 0, 2, 2, 3, 7, 4, 2, 2, 2, 0, 0, 1, 0, 1, 7, 2, 0, 0, 1, 7, 6, 5, 2, 0, 0, 1, 7, 6, 1, 0, 5, 6, 1, 0, 1, 0, 5, 3, 3, 7, 4, 2, 3, 3]",0.28564513160407135,0.008655913078911254
5,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,99,-0.09900000000000007,5.504,0.03300023078918457,"[1, 0, 1, 1, 3, 4, 1, 3, 6, 5, 4, 7, 6, 0, 3, 3, 2, 6, 0, 0, 7, 4, 7, 6, 1, 0, 0, 1, 5, 2, 1, 0, 1, 1, 0, 5, 3, 2, 2, 3, 2, 3, 6, 1, 0, 0, 1, 0, 3, 3, 2, 4, 0, 1, 0, 1, 0, 1, 7, 4, 0, 1, 0, 1, 0, 1, 0, 1, 7, 2, 1, 5, 6, 0, 0, 1, 0, 0, 1, 1, 3, 4, 0, 1, 0, 1, 0, 1, 1, 0, 7, 4, 0, 1, 0, 1, 0, 1, 0, 1]",0.28150704368712703,0.008530516475367485
6,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,60,1.9409999999999998,7.444999999999999,0.020000219345092773,"[1, 7, 4, 7, 4, 7, 6, 0, 3, 4, 0, 1, 1, 3, 2, 3, 6, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 3, 2, 0, 7, 3, 3, 7, 4, 7, 0, 1, 4, 2, 3, 7, 0, 2, 7, 0, 1, 4, 3, 1, 4, 3, 1, 4, 3, 1, 1, 7, 3, 3]",0.3783236735777357,0.01146435374477987
7,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,91,1.91,9.354999999999999,0.03000044822692871,"[1, 0, 1, 7, 2, 0, 0, 1, 1, 3, 4, 0, 1, 1, 3, 6, 0, 0, 1, 0, 0, 1, 0, 1, 7, 6, 0, 3, 4, 1, 1, 5, 3, 3, 3, 2, 2, 2, 4, 0, 1, 7, 6, 5, 3, 3, 2, 2, 2, 3, 4, 0, 1, 0, 1, 0, 1, 7, 6, 5, 4, 1, 0, 0, 1, 0, 1, 7, 2, 0, 0, 1, 0, 1, 7, 2, 3, 4, 1, 1, 1, 0, 5, 3, 2, 3, 3, 7, 1, 7, 3, 3]",0.47401524071034684,0.014364098203343844
8,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,94,1.907,11.261999999999999,0.030998706817626953,"[1, 7, 4, 0, 1, 0, 1, 0, 1, 7, 2, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 3, 6, 0, 0, 0, 1, 7, 6, 0, 0, 0, 1, 1, 3, 3, 2, 3, 2, 3, 2, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 3, 6, 1, 0, 5, 2, 1, 0, 3, 2, 1, 5, 2, 1, 0, 0, 1, 3, 2, 0, 0, 1, 1, 0, 7, 4, 0, 1, 7, 3, 3, 3, 2, 2, 2, 3, 3, 3, 1, 1, 7, 3, 3]",0.5693405856884697,0.017252745020862718
9,"Qlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,55,1.946,13.207999999999998,0.01899886131286621,"[1, 1, 1, 5, 2, 1, 5, 2, 1, 0, 3, 6, 0, 0, 7, 6, 1, 0, 0, 3, 4, 7, 4, 1, 0, 7, 6, 5, 3, 2, 2, 1, 0, 1, 1, 0, 0, 3, 2, 0, 1, 1, 0, 0, 1, 3, 3, 3, 2, 3, 3, 1, 1, 7, 3, 3]",0.6658761315778408,0.020178064593267903
