,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,99,-0.09900000000000007,-0.09900000000000007,0.07912611961364746,"[1, 1, 3, 3, 3, 7, 0, 1, 0, 1, 0, 2, 7, 1, 7, 6, 1, 1, 0, 0, 1, 6, 3, 2, 3, 0, 6, 5, 6, 2, 2, 6, 5, 3, 3, 5, 0, 1, 0, 1, 1, 2, 3, 2, 5, 0, 0, 3, 4, 0, 0, 2, 3, 1, 0, 2, 7, 4, 2, 2, 6, 1, 0, 5, 4, 1, 0, 1, 1, 5, 3, 3, 3, 1, 1, 1, 0, 7, 6, 0, 1, 5, 4, 7, 4, 1, 0, 1, 0, 7, 2, 0, 0, 0, 2, 7, 1, 7, 6, 1]",0,0
1,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,53,0.947,0.8479999999999999,0.06996607780456543,"[1, 1, 3, 2, 3, 2, 0, 7, 3, 2, 4, 7, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2, 6, 5, 6, 1, 0, 1, 0, 5, 2, 0, 0, 1, 1, 1, 5, 3, 3, 2, 2, 4, 7, 3, 2, 2, 3, 3, 3, 7, 1, 7, 3, 3]",0,0
2,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,21,0.979,1.827,0.032053470611572266,"[1, 0, 1, 0, 1, 1, 3, 3, 3, 2, 3, 7, 0, 1, 0, 1, 1, 7, 6, 5, 3, 3]",0,0
3,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,27,0.973,2.8,0.041536569595336914,"[1, 1, 3, 4, 0, 1, 7, 3, 3, 7, 4, 3, 1, 0, 1, 0, 1, 1, 0, 0, 2, 3, 2, 7, 1, 7, 3, 3]",0,0
4,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,33,0.967,3.767,0.05054306983947754,"[1, 1, 3, 3, 3, 3, 1, 0, 2, 3, 1, 0, 1, 0, 1, 4, 3, 2, 3, 2, 3, 2, 7, 4, 7, 0, 1, 1, 1, 1, 0, 3, 3, 3]",0,0
5,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,19,0.981,4.748,0.0320439338684082,"[1, 0, 1, 1, 3, 2, 3, 3, 2, 3, 3, 3, 1, 1, 7, 6, 0, 3, 3, 3]",0,0
6,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,21,0.979,5.727,0.032204389572143555,"[1, 0, 1, 7, 3, 2, 3, 3, 7, 1, 0, 0, 1, 1, 1, 3, 2, 3, 3, 2, 3, 3]",0,0
7,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,25,0.975,6.702,0.03903532028198242,"[1, 7, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 1, 0, 1, 0, 2, 3, 2, 3, 1, 1, 7, 3, 3]",0,0
8,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,22,0.978,7.68,0.03203439712524414,"[1, 1, 3, 3, 3, 3, 1, 0, 1, 4, 2, 2, 3, 3, 7, 0, 1, 0, 1, 1, 7, 3, 3]",0,0
9,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,15,0.985,8.665,0.02402019500732422,"[1, 7, 4, 0, 1, 7, 3, 3, 3, 1, 0, 1, 1, 7, 3, 3]",0,0
10,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,10,23,0.977,9.642,0.036492109298706055,"[1, 7, 6, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 7, 3, 3, 2, 3, 7, 1, 1, 3, 3, 3]",0,0
11,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,11,19,0.981,10.623,0.030568599700927734,"[1, 7, 3, 3, 2, 3, 3, 2, 3, 1, 1, 7, 6, 1, 6, 5, 0, 5, 3, 3]",0,0
12,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,12,11,0.989,11.612,0.01901698112487793,"[1, 7, 3, 3, 2, 3, 3, 1, 1, 7, 3, 3]",0,0
13,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,13,15,0.985,12.597,0.020023107528686523,"[1, 0, 1, 7, 4, 0, 1, 7, 3, 3, 3, 1, 1, 7, 3, 3]",0,0
14,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,14,40,0.96,13.556999999999999,0.062429189682006836,"[1, 7, 6, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 5, 2, 1, 5, 2, 3, 3, 3, 3, 1, 0, 1, 0, 1, 4, 7, 1, 7, 3, 3]",0,0
15,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,15,13,0.987,14.543999999999999,0.022530078887939453,"[1, 7, 6, 1, 0, 0, 3, 3, 3, 7, 1, 7, 3, 3]",0,0
16,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,16,26,0.974,15.517999999999999,0.042043209075927734,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 5, 3, 3, 7, 0, 1, 1, 7, 3, 3]",0,0
17,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,17,99,-0.09900000000000007,15.418999999999999,0.14333033561706543,"[1, 1, 1, 1, 0, 1, 0, 5, 2, 3, 4, 7, 3, 3, 7, 1, 7, 6, 1, 1, 2, 3, 0, 6, 3, 0, 1, 2, 3, 2, 3, 0, 0, 1, 1, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 3, 3, 0, 6, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 6, 3, 0, 1, 0, 1, 2, 3, 2, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 3, 0, 1, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 0, 1, 0, 1, 0]",0,0
18,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,18,74,0.9259999999999999,16.345,0.10671043395996094,"[1, 7, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 5, 3, 3, 7, 1, 7, 6, 1, 1, 0, 1, 2, 5, 1, 2, 3, 2, 3, 2, 5, 1, 2, 2, 3, 3, 0, 1, 0, 1, 0, 0, 0, 3, 3, 3]",0,0
19,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,19,25,0.975,17.32,0.03604459762573242,"[1, 7, 6, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 5, 3, 3, 7, 1, 1, 3, 2, 3, 3, 3]",0,0
20,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,20,51,0.949,18.269000000000002,0.06908726692199707,"[1, 7, 6, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 5, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 5, 3, 3, 7, 1, 7, 4, 7, 3, 3]",0,0
21,6,"DefaultEngDQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,21,51,0.949,19.218000000000004,0.08123111724853516,"[1, 7, 2, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 5, 3, 3, 7, 1, 1, 1, 1, 1, 0, 1, 0, 0, 5, 4, 7, 2, 3, 3, 3]",0,0
