,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,99,-0.09900000000000007,-0.09900000000000007,0.04099559783935547,"[1, 1, 3, 2, 3, 3, 2, 4, 1, 0, 0, 1, 1, 3, 3, 2, 6, 1, 0, 5, 3, 2, 6, 0, 3, 6, 1, 0, 1, 0, 0, 3, 2, 1, 1, 0, 5, 4, 1, 1, 5, 6, 5, 3, 3, 3, 2, 2, 2, 2, 3, 6, 5, 4, 0, 1, 7, 2, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 7, 6, 0, 1, 0, 0, 1, 0, 0, 1, 7, 6, 0, 3, 6, 0, 3, 4, 7, 3, 3, 2, 2, 3, 3, 2, 3]",-0.004815075597062872,-0.0002407537798531436
1,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,99,-0.09900000000000007,-0.19800000000000015,0.0410008430480957,"[1, 0, 1, 1, 0, 1, 3, 2, 3, 4, 7, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 7, 6, 5, 2, 0, 0, 1, 0, 1, 7, 3, 3, 3, 2, 7, 4, 3, 2, 7, 4, 2, 2, 2, 1, 0, 1, 5, 6, 5, 6, 5, 3, 3, 2, 2, 6, 5, 3, 2, 3, 2, 6, 1, 0, 5, 3, 2, 3, 2, 2, 0, 0, 1, 7, 6, 5, 3, 2, 3, 2, 3, 3, 3, 1, 0, 2, 7, 4, 3, 2, 2, 3, 3, 2, 7, 1, 7]",-0.009266222599961118,-0.00037064890399844474
2,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,99,-0.09900000000000007,-0.2970000000000002,0.040999412536621094,"[1, 0, 1, 1, 0, 0, 1, 7, 2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 3, 4, 1, 0, 7, 6, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 7, 6, 0, 3, 3, 2, 3, 2, 4, 0, 1, 1, 1, 5, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 7, 4, 7, 6, 0, 1, 0, 1, 1, 0, 1, 0, 5, 4, 1, 3, 2, 3, 4, 1, 0, 7, 6, 0, 0, 1, 3, 3, 3, 7, 1, 0, 4, 3, 1, 0, 2, 7, 0]",-0.01364670507026275,-0.0005248732719331827
3,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,99,-0.09900000000000007,-0.3960000000000003,0.0409998893737793,"[1, 0, 1, 7, 6, 1, 0, 5, 3, 3, 2, 3, 3, 1, 0, 1, 0, 2, 3, 1, 1, 1, 1, 5, 6, 5, 4, 7, 2, 3, 4, 7, 2, 1, 1, 1, 0, 1, 0, 6, 3, 2, 2, 2, 2, 1, 5, 6, 5, 2, 1, 1, 0, 1, 0, 5, 3, 2, 2, 0, 7, 4, 7, 3, 2, 2, 0, 7, 4, 0, 1, 1, 1, 0, 3, 2, 3, 2, 3, 4, 0, 1, 1, 3, 2, 1, 0, 1, 5, 6, 0, 3, 2, 1, 5, 3, 2, 6, 0, 3]",-0.018440189599661972,-0.0003235120982396837
4,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,57,0.943,0.5469999999999997,0.02299952507019043,"[1, 7, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 3, 6, 1, 0, 0, 1, 0, 3, 4, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 3, 3, 2, 3, 3, 7, 0, 1, 1, 7, 2, 1, 1, 1, 2, 3, 2, 3, 2, 3, 0, 0, 5, 3, 3]",0.02900093328541075,0.0004833488880901792
5,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,99,-0.09900000000000007,0.4479999999999996,0.0409998893737793,"[1, 7, 4, 1, 1, 5, 3, 3, 2, 2, 3, 3, 3, 1, 1, 7, 6, 0, 0, 0, 1, 1, 0, 7, 6, 1, 1, 0, 0, 1, 1, 2, 5, 6, 3, 0, 1, 2, 5, 1, 2, 3, 0, 1, 0, 6, 2, 2, 2, 0, 1, 0, 7, 3, 3, 5, 6, 3, 0, 1, 0, 1, 0, 0, 1, 1, 2, 5, 1, 0, 6, 2, 2, 3, 2, 3, 3, 3, 2, 2, 2, 3, 3, 2, 3, 3, 0, 6, 3, 2, 2, 3, 2, 3, 5, 1, 0, 1, 0, 6]",0.024508599862146672,0.00038294687284604176
6,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,86,0.9139999999999999,1.3619999999999997,0.036000967025756836,"[1, 0, 1, 1, 3, 2, 0, 0, 1, 0, 1, 1, 0, 7, 3, 3, 2, 2, 4, 7, 2, 0, 1, 3, 6, 0, 0, 0, 1, 0, 1, 1, 3, 4, 0, 1, 0, 1, 0, 1, 1, 3, 4, 7, 2, 1, 5, 2, 0, 1, 1, 1, 0, 1, 0, 5, 4, 1, 3, 4, 7, 3, 3, 7, 4, 7, 4, 3, 1, 4, 3, 1, 1, 1, 0, 1, 1, 0, 1, 5, 4, 7, 6, 0, 3, 3, 3]",0.0706875407993905,0.0011044928249904766
7,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,30,0.97,2.332,0.012999534606933594,"[1, 7, 3, 2, 4, 0, 1, 1, 3, 4, 1, 3, 2, 0, 0, 1, 1, 0, 0, 1, 7, 3, 3, 7, 0, 2, 7, 1, 7, 3, 3]",0.11924334213400775,0.0018631772208438711
8,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,16,0.984,3.316,0.00699925422668457,"[1, 7, 3, 3, 7, 1, 0, 4, 7, 4, 7, 1, 1, 1, 5, 3, 3]",0.16819700391587528,0.002628078186185551
9,4,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,99,-0.09900000000000007,3.2169999999999996,0.04200315475463867,"[1, 1, 3, 2, 0, 1, 0, 0, 1, 1, 0, 7, 6, 0, 0, 7, 3, 2, 6, 5, 6, 1, 0, 5, 6, 0, 3, 6, 5, 3, 2, 6, 1, 0, 1, 0, 1, 0, 5, 3, 2, 2, 1, 5, 4, 1, 0, 0, 1, 7, 3, 2, 6, 5, 4, 0, 1, 7, 2, 0, 0, 1, 0, 1, 7, 6, 5, 6, 5, 3, 3, 7, 1, 0, 4, 2, 2, 2, 1, 1, 0, 5, 2, 3, 2, 3, 4, 0, 1, 1, 0, 0, 1, 7, 6, 0, 3, 6, 0, 0]",0.16417727942570018,0.0025652699910265653
