,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,17,1.986,1.986,3.4566917419433594,"[2, 2, 3, 3, 2, 6, 7, 2, 3, 2, 3, 4, 7, 2, 3, 4, 7, 3]",0,0
1,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,50,1.9689999999999999,3.955,0.011034250259399414,"[2, 3, 2, 3, 2, 6, 5, 3, 2, 2, 3, 6, 5, 3, 2, 2, 3, 3, 2, 6, 5, 2, 1, 5, 6, 1, 3, 2, 0, 7, 4, 5, 2, 1, 0, 1, 5, 6, 5, 6, 5, 2, 3, 2, 3, 3, 2, 6, 1, 3, 3]",0,0
2,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,23,1.9849999999999999,5.9399999999999995,0.024084806442260742,"[2, 2, 3, 2, 3, 3, 2, 6, 7, 2, 3, 2, 0, 0, 3, 3, 2, 3, 2, 6, 5, 6, 7, 3]",0,0
3,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,9,1.995,7.935,0.010015249252319336,"[2, 3, 2, 3, 2, 6, 5, 6, 7, 3]",0,0
4,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,5,1.9969999999999999,9.931999999999999,0.006005287170410156,"[2, 6, 5, 6, 7, 3]",0,0
5,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,10,1.992,11.924,0.011028051376342773,"[2, 2, 3, 2, 1, 7, 2, 3, 4, 7, 3]",0,0
6,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,7,1.995,13.919,0.008040666580200195,"[2, 6, 0, 3, 6, 1, 3, 3]",0,0
7,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,6,1.996,15.915000000000001,0.007505655288696289,"[2, 6, 5, 2, 1, 7, 3]",0,0
8,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,5,1.9969999999999999,17.912,0.005999326705932617,"[2, 3, 2, 6, 7, 3]",0,0
9,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,5,1.996,19.907999999999998,0.006508827209472656,"[2, 6, 7, 4, 7, 3]",0,0
10,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,10,12,1.992,21.9,0.015012502670288086,"[2, 3, 2, 3, 2, 6, 5, 6, 1, 0, 1, 3, 3]",0,0
11,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,11,7,1.994,23.894,0.009006261825561523,"[2, 6, 7, 4, 0, 1, 7, 3]",0,0
12,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,12,4,1.9969999999999999,25.891,0.007049083709716797,"[2, 2, 1, 7, 3]",0,0
13,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,13,7,1.995,27.886,0.009510040283203125,"[2, 3, 2, 6, 7, 2, 3, 3]",0,0
14,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,14,4,1.9969999999999999,29.883,0.005506992340087891,"[2, 6, 1, 3, 3]",0,0
15,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,15,5,1.9969999999999999,31.88,0.0069997310638427734,"[2, 2, 3, 6, 7, 3]",0,0
16,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,16,3,1.998,33.878,0.004508256912231445,"[2, 6, 7, 3]",0,0
17,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,17,5,1.996,35.874,0.007504463195800781,"[2, 2, 1, 1, 3, 3]",0,0
18,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,18,5,1.996,37.870000000000005,0.008004426956176758,"[2, 6, 7, 4, 7, 3]",0,0
19,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,19,6,1.996,39.86600000000001,0.009509563446044922,"[2, 6, 0, 3, 6, 7, 3]",0,0
20,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,20,5,1.996,41.86200000000001,0.008507251739501953,"[2, 6, 7, 2, 3, 3]",0,0
21,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,21,11,1.99,43.85200000000001,0.01501607894897461,"[2, 6, 7, 4, 7, 4, 7, 2, 0, 1, 3, 3]",0,0
22,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,22,11,1.99,45.84200000000001,0.014139413833618164,"[2, 6, 7, 4, 0, 1, 1, 0, 7, 2, 3, 3]",0,0
23,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,23,6,1.995,47.83700000000001,0.007611513137817383,"[2, 6, 7, 4, 1, 3, 3]",0,0
24,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,24,7,1.996,49.83300000000001,0.00803065299987793,"[2, 3, 2, 3, 2, 6, 7, 3]",0,0
25,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,25,3,1.998,51.83100000000001,0.003999471664428711,"[2, 6, 7, 3]",0,0
26,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,26,11,1.992,53.82300000000001,0.011511564254760742,"[2, 6, 0, 3, 3, 2, 6, 0, 1, 1, 3, 3]",0,0
27,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,27,10,1.991,55.81400000000001,0.013012170791625977,"[2, 6, 7, 4, 7, 2, 0, 0, 1, 7, 3]",0,0
28,2,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,28,12,1.9929999999999999,57.80700000000001,0.01651597023010254,"[2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 1, 7, 3]",0,0
