,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,16,1.99,1.99,0.0020008087158203125,"[2, 3, 2, 6, 5, 2, 3, 3, 2, 2, 3, 2, 1, 1, 0, 7, 3]",0,0
1,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,3,1.998,3.988,0.0,"[2, 6, 7, 3]",0,0
2,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,17,1.988,5.976,0.0019989013671875,"[2, 3, 2, 3, 2, 6, 0, 1, 7, 4, 0, 3, 3, 2, 2, 1, 7, 3]",0,0
3,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,3,1.998,7.974,0.0,"[2, 6, 7, 3]",0,0
4,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,5,1.996,9.97,0.0,"[2, 6, 7, 4, 7, 3]",0,0
5,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,10,1.9929999999999999,11.963000000000001,0.0009999275207519531,"[2, 3, 2, 6, 5, 6, 0, 1, 1, 3, 3]",0,0
6,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,79,1.952,13.915000000000001,0.08407902717590332,"[2, 2, 3, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 6, 5, 3, 2, 2, 3, 3, 2, 3, 2, 2, 1, 5, 2, 1, 0, 3, 3, 2, 6, 0, 3, 2, 3, 2, 3, 6, 0, 3, 3, 2, 2, 3, 6, 7, 2, 0, 7, 2, 3, 2, 3, 4, 0, 3, 6, 5, 2, 1, 5, 3, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 6, 7, 3]",0,0
7,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,8,1.994,15.909,0.010509490966796875,"[2, 3, 2, 6, 7, 4, 1, 3, 3]",0,0
8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,16,1.988,17.897000000000002,0.018015384674072266,"[2, 3, 2, 2, 3, 6, 5, 2, 1, 7, 4, 7, 4, 7, 2, 3, 3]",0,0
9,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,20,1.9889999999999999,19.886000000000003,0.02453017234802246,"[2, 2, 3, 2, 3, 2, 3, 3, 2, 3, 2, 6, 5, 3, 2, 3, 2, 6, 1, 3, 3]",0,0
