,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,35,0.965,0.965,3.8439927101135254,"[2, 6, 0, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2, 1, 0, 1, 1, 0, 1, 0, 7, 2, 3, 2, 0, 7, 2, 3, 2, 0, 7, 3]",0.04824232805030564,0.0037109483115619723
1,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,4,0.996,1.9609999999999999,0.0010004043579101562,"[2, 2, 1, 7, 3]",0.09793743734378729,0.007533649026445177
2,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,3,0.997,2.9579999999999997,0.0019991397857666016,"[2, 6, 7, 3]",0.14755408459544234,0.01135031419964941
3,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,5,0.995,3.953,0.0020003318786621094,"[2, 6, 1, 0, 7, 3]",0.19727408234007116,0.015174929410774704
4,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,5,0.995,4.9479999999999995,0.0020003318786621094,"[2, 2, 3, 6, 7, 3]",0.24656708385622933,0.018966698758171488
5,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,6,0.994,5.941999999999999,0.002000093460083008,"[2, 6, 7, 2, 0, 7, 3]",0.306344863816423,0.023564989524340232
6,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,3,0.997,6.938999999999999,0.0010004043579101562,"[2, 6, 7, 3]",0.35544796808106555,0.027342151390851197
7,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,3,0.997,7.935999999999999,0.0019991397857666016,"[2, 6, 7, 3]",0.4044258323467523,0.031109679411288636
8,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,3,0.997,8.933,0.0010006427764892578,"[2, 6, 7, 3]",0.45327492215594883,0.03486730170430376
9,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,0.997,9.93,0.00099945068359375,"[2, 6, 7, 3]",0.5019909736905208,0.03861469028388621
10,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,5,0.995,10.924999999999999,0.0020003318786621094,"[2, 3, 2, 6, 7, 3]",0.5510211044999112,0.042386238807685474
11,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,3,0.997,11.921999999999999,0.0020003318786621094,"[2, 6, 7, 3]",0.5994326981986482,0.04611020755374217
12,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,3,0.997,12.918999999999999,0.00099945068359375,"[2, 6, 7, 3]",0.6476948649434896,0.04982268191872997
13,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,5,0.995,13.913999999999998,0.0020003318786621094,"[2, 6, 5, 6, 7, 3]",0.7020167567767317,0.050144054055480836
14,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,3,0.997,14.910999999999998,0.0019998550415039062,"[2, 6, 7, 3]",0.7499446258629092,0.05356747327592209
15,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,3,0.997,15.907999999999998,0.0009999275207519531,"[2, 6, 7, 3]",0.7976873634813884,0.05697766882009917
16,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,8,0.992,16.9,0.003000497817993164,"[2, 3, 2, 2, 1, 1, 0, 7, 3]",0.8581676614465557,0.061297690103325406
17,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,5,0.995,17.895,0.0019996166229248047,"[2, 6, 1, 0, 7, 3]",0.9149200286913525,0.06535143062081089
18,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,3,0.997,18.892,0.0010020732879638672,"[2, 6, 7, 3]",0.9620044047014875,0.06871460033582054
19,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,3,0.997,19.889,0.0009992122650146484,"[2, 6, 7, 3]",1.0088826144049352,0.0720630438860668
20,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,7,0.993,20.881999999999998,0.0030012130737304688,"[2, 6, 5, 6, 5, 6, 7, 3]",1.0788270128309643,0.07705907234506888
21,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,7,0.993,21.874999999999996,0.002997875213623047,"[2, 6, 1, 0, 0, 1, 7, 3]",1.150814798825604,0.08220105705897171
22,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,7,0.993,22.867999999999995,0.0019998550415039062,"[2, 6, 5, 3, 2, 6, 7, 3]",1.2149479180205254,0.08678199414432324
23,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,5,0.995,23.862999999999996,0.002000570297241211,"[2, 6, 7, 4, 7, 3]",1.2925362539576206,0.0861690835971747
24,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,24,3,0.997,24.859999999999996,0.0019986629486083984,"[2, 6, 7, 3]",1.337786178051513,0.0891857452034342
25,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,25,5,0.995,25.854999999999997,0.002000093460083008,"[2, 6, 1, 0, 7, 3]",1.399497204925694,0.09329981366171293
26,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,26,3,0.997,26.851999999999997,0.0010001659393310547,"[2, 6, 7, 3]",1.4440998273112704,0.09627332182075136
27,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,27,3,0.997,27.848999999999997,0.0010004043579101562,"[2, 6, 7, 3]",1.488362024935006,0.09922413499566707
28,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,28,3,0.997,28.845999999999997,0.0019998550415039062,"[2, 6, 7, 3]",1.5322726227287158,0.10215150818191439
29,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,29,3,0.997,29.842999999999996,0.0009996891021728516,"[2, 6, 7, 3]",1.5758205118394883,0.10505470078929922
30,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,30,4,0.996,30.838999999999995,0.002000093460083008,"[2, 2, 1, 7, 3]",1.6283948115943159,0.10855965410628772
31,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,31,3,0.997,31.835999999999995,0.0009999275207519531,"[2, 6, 7, 3]",1.6712126335041653,0.11141417556694436
32,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,32,3,0.997,32.833,0.0019998550415039062,"[2, 6, 7, 3]",1.7136606300179507,0.11424404200119671
33,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,33,8,0.992,33.824999999999996,0.0020012855529785156,"[2, 3, 2, 2, 1, 5, 6, 7, 3]",1.7976797593131162,0.11984531728754108
34,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,34,3,0.997,34.821999999999996,0.001997709274291992,"[2, 6, 7, 3]",1.8390592860044712,0.12260395240029807
35,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,35,4,0.996,35.818,0.0010004043579101562,"[2, 2, 1, 7, 3]",1.8916357645899462,0.1261090509726631
36,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,36,3,0.997,36.815,0.0009987354278564453,"[2, 6, 7, 3]",1.9322480042068357,0.12881653361378906
37,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,37,4,0.996,37.811,0.0020003318786621094,"[2, 2, 1, 7, 3]",1.9845216026453134,0.13230144017635423
38,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,38,3,0.997,38.808,0.0010001659393310547,"[2, 6, 7, 3]",2.0243740405880017,0.13495826937253344
39,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,39,4,0.996,39.804,0.0019998550415039062,"[2, 2, 1, 7, 3]",2.0763379236154313,0.13842252824102877
40,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,40,4,0.996,40.800000000000004,0.0009999275207519531,"[2, 2, 1, 7, 3]",2.1276562881079384,0.14184375254052922
41,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,41,5,0.995,41.795,0.0019998550415039062,"[2, 6, 1, 0, 7, 3]",2.194146371642524,0.14627642477616826
42,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,42,7,0.993,42.788000000000004,0.003001689910888672,"[2, 6, 5, 6, 5, 6, 7, 3]",2.285215671364967,0.15234771142433115
43,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,43,3,0.997,43.785000000000004,0.0009992122650146484,"[2, 6, 7, 3]",2.3231326606416154,0.15487551070944103
44,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,44,3,0.997,44.782000000000004,0.0009999275207519531,"[2, 6, 7, 3]",2.360581555936637,0.15737210372910912
45,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,45,6,0.994,45.776,0.003000020980834961,"[2, 2, 1, 0, 1, 7, 3]",2.443341732552379,0.16288944883682527
46,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,46,5,0.995,46.771,0.0020003318786621094,"[2, 6, 7, 4, 7, 3]",2.5203535558334096,0.16802357038889398
47,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,47,3,0.997,47.768,0.0010004043579101562,"[2, 6, 7, 3]",2.5563792854613863,0.17042528569742574
48,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,48,3,0.997,48.765,0.00099945068359375,"[2, 6, 7, 3]",2.5919289600537514,0.17279526400358342
49,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,49,3,0.997,49.762,0.0010025501251220703,"[2, 6, 7, 3]",2.6269921980647046,0.17513281320431365
50,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,50,3,0.997,50.759,0.000997781753540039,"[2, 6, 7, 3]",2.6615597232829753,0.1774373148855317
51,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,51,3,0.997,51.756,0.0020012855529785156,"[2, 6, 7, 3]",2.695623312354811,0.17970822082365406
52,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,52,3,0.997,52.753,0.0009984970092773438,"[2, 6, 7, 3]",2.729175744388465,0.1819450496258977
53,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,53,3,0.997,53.75,0.001001596450805664,"[2, 6, 7, 3]",2.762210752523265,0.184147383501551
54,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,54,5,0.995,54.745,0.0019981861114501953,"[2, 6, 7, 4, 7, 3]",2.8350031070246615,0.18900020713497742
55,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,55,3,0.997,55.742,0.0020003318786621094,"[2, 6, 7, 3]",2.866969309572059,0.19113128730480394
56,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,56,3,0.997,56.739,0.00099945068359375,"[2, 6, 7, 3]",2.8984046016962317,0.19322697344641546
57,5,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,57,3,0.997,57.736,0.0010004043579101562,"[2, 6, 7, 3]",2.929305280586412,0.19528701870576082
