,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,71,0.9289999999999999,0.9289999999999999,0.021001338958740234,"[2, 6, 7, 4, 5, 2, 3, 2, 1, 1, 0, 5, 3, 2, 3, 2, 3, 2, 3, 2, 6, 0, 1, 1, 3, 4, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 5, 6, 5, 3, 2, 6, 5, 2, 3, 3, 2, 3, 2, 3, 2, 6, 5, 3, 2, 6, 5, 2, 1, 7, 2, 0, 0, 1, 7, 2, 0, 1, 3, 3]",0.04661868882171475,0.003107912588114317
1,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,37,0.963,1.892,0.010999679565429688,"[2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 1, 0, 1, 5, 3, 2, 3, 2, 2, 3, 6, 5, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 2, 3, 6, 1, 3, 3]",0.09495979015546889,0.006330652677031259
2,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,5,0.995,2.887,0.0019991397857666016,"[2, 2, 1, 1, 3, 3]",0.1445167456957671,0.00963444971305114
3,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,7,0.993,3.88,0.0030007362365722656,"[2, 2, 3, 3, 2, 6, 7, 3]",0.19388721640381304,0.01292581442692087
4,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,3,0.997,4.877,0.0009992122650146484,"[2, 6, 7, 3]",0.24330120606368916,0.016220080404245944
5,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,5,0.995,5.872,0.002000570297241211,"[2, 3, 2, 6, 7, 3]",0.29253759607161905,0.019502506404774602
6,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,3,0.997,6.869,0.0010001659393310547,"[2, 6, 7, 3]",0.34170709771879293,0.022780473181252862
7,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,3,0.997,7.866,0.0019991397857666016,"[2, 6, 7, 3]",0.3907526406477214,0.02605017604318143
8,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,3,0.997,8.863,0.0010006427764892578,"[2, 6, 7, 3]",0.43967208673260116,0.029311472448840078
9,6,"DefaultEngQlearntab_language_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,0.997,9.86,0.0009992122650146484,"[2, 6, 7, 3]",0.4884623411279909,0.03256415607519939
