,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_DQN_language_default__training_results,10,0,,,0.9844000000000002,0.0024413111231467426,0.00199937820434565
1,DefaultEng_DQN_language_default__training_results,10,1,0.9844000000000002,0.0024413111231467426,1.9695,0.006252555033299956,0.0010004043579100999
2,DefaultEng_DQN_language_default__training_results,10,2,0.98475,0.003126277516649978,2.9422,0.008450903962167468,0.00349962711334225
3,DefaultEng_DQN_language_default__training_results,10,3,0.9807333333333335,0.0028169679873891597,3.9219999999999997,0.007949842765740721,0.011499643325805602
4,DefaultEng_DQN_language_default__training_results,10,4,0.9804999999999999,0.0019874606914351716,4.9058,0.008734096658753283,0.01750183105468745
5,DefaultEng_DQN_language_default__training_results,10,5,0.98116,0.0017468193317506362,5.8773,0.008878250578426722,0.02349996566772455
6,DefaultEng_DQN_language_default__training_results,10,6,0.97955,0.0014797084297377737,6.8595,0.010838460325259452,0.01599967479705805
7,DefaultEng_DQN_language_default__training_results,10,7,0.9799285714285715,0.001548351475037054,7.8467,0.009178537767834111,0.012500524520874
8,DefaultEng_DQN_language_default__training_results,10,8,0.9808375,0.001147317220979251,8.8272,0.010657079024448197,0.0165026187896728
9,DefaultEng_DQN_language_default__training_results,10,9,0.9808,0.0011841198916053503,9.8138,0.010670624265816135,0.01699984073638915
10,DefaultEng_DQN_language_default__training_results,10,10,0.9813799999999999,0.0010670624265816102,10.7896,0.012674734272910443,0.01999974250793455
11,DefaultEng_DQN_language_default__training_results,10,11,0.9808727272727273,0.0011522485702645858,11.7755,0.012141068962639072,0.01049947738647455
12,DefaultEng_DQN_language_default__training_results,10,12,0.9812916666666667,0.0010117557468865847,12.762300000000002,0.013823530663329213,0.01249980926513665
13,DefaultEng_DQN_language_default__training_results,10,13,0.9817153846153845,0.001063348512563781,13.7482,0.015060470702397626,0.01100111007690425
14,DefaultEng_DQN_language_default__training_results,10,14,0.9820142857142857,0.0010757479073141194,14.724599999999999,0.019087634158736863,0.0289995670318603
15,DefaultEng_DQN_language_default__training_results,10,15,0.98164,0.0012725089439157942,15.7112,0.019695910461029528,0.0144988298416137
16,DefaultEng_DQN_language_default__training_results,10,16,0.98195,0.0012309944038143407,16.6954,0.019591494753251223,0.0189998149871826
17,DefaultEng_DQN_language_default__training_results,10,17,0.9820823529411765,0.0011524408678382986,17.6705,0.02269079598035792,0.0209994316101074
18,DefaultEng_DQN_language_default__training_results,10,18,0.9816944444444443,0.0012605997766865498,18.6469,0.021513019313894384,0.020000576972961398
19,DefaultEng_DQN_language_default__training_results,10,19,0.9814157894736842,0.0011322641744155044,19.634400000000007,0.02188312388830979,0.01149928569793695
20,DefaultEng_DQN_language_default__training_results,10,20,0.9817199999999999,0.0010941561944154917,20.607400000000002,0.023706164224146956,0.03500032424926755
21,DefaultEng_DQN_language_default__training_results,10,21,0.9813047619047619,0.0011288649630546137,21.5833,0.022108344327174158,0.0164995193481445
22,DefaultEng_DQN_language_default__training_results,10,22,0.9810590909090908,0.0010049247421442852,22.566,0.02071499725105258,0.015000820159912099
23,DefaultEng_DQN_language_default__training_results,10,23,0.9811304347826088,0.0009006520543936069,23.5452,0.0216501475488945,0.0159990787506103
24,DefaultEng_DQN_language_default__training_results,10,24,0.98105,0.0009020894812039263,24.5305,0.02481363872282098,0.0085002183914184
25,DefaultEng_DQN_language_default__training_results,10,25,0.9812200000000001,0.0009925455489128198,25.508200000000002,0.02647967774224887,0.029998898506164502
26,DefaultEng_DQN_language_default__training_results,10,26,0.9810846153846153,0.0010184491439326345,26.488400000000002,0.029477373620381553,0.0220004320144653
27,DefaultEng_DQN_language_default__training_results,10,27,0.9810518518518517,0.001091754578532648,27.470499999999998,0.03186229049449487,0.015000224113464349
28,DefaultEng_DQN_language_default__training_results,10,28,0.9810892857142857,0.001137938946231944,28.4464,0.031212248308067674,0.0154998302459716
29,DefaultEng_DQN_language_default__training_results,10,29,0.9809103448275863,0.0010762844244161152,29.4192,0.028415097708398104,0.0289990901947021
30,DefaultEng_DQN_language_default__training_results,10,30,0.98064,0.0009471699236132588,30.396200000000004,0.029255123008155016,0.02299964427947995
31,DefaultEng_DQN_language_default__training_results,10,31,0.9805225806451613,0.0009437136454243359,31.369099999999996,0.027461265650205225,0.02249968051910395
32,DefaultEng_DQN_language_default__training_results,10,32,0.9802843749999999,0.0008581645515688988,32.3546,0.026836625056897084,0.01449942588806145
33,DefaultEng_DQN_language_default__training_results,10,33,0.9804424242424241,0.0008132310623301886,33.3335,0.030350269996969437,0.0159997940063476
34,DefaultEng_DQN_language_default__training_results,10,34,0.9803970588235293,0.000892654999910832,34.3172,0.029599849849470287,0.01650023460388175
35,DefaultEng_DQN_language_default__training_results,10,35,0.9804914285714286,0.0008457099956991188,35.30310000000001,0.031349800637325426,0.01500070095062255
